EntregaID;Dia;Mes;Anio;NombreCliente;Direccion;NombreEmpleadoEntrega;PuestoEmpleadoEntrega;CiudadEntrega;NombreProducto;Descripción;Peso;TiempoEntrega;EstadoEntrega;CostoEnvio;PrecioProducto
653;Miércoles;Junio;2022;Óscar Bravo;Dirección 17;Empleado 17;Puesto 17;Ostuncalco; Paquete con seguro; Paquete con seguro;1.22;73;En Bodega;49.08;28.59
449;Miércoles;Enero;;David Jiménez;Dirección 18;Empleado 18;Puesto 18;Sanarate; Paquete pequeño; Paquete pequeño;7.18;105;En Bodega;17.34;46.06
17;Viernes;Marzo;2020;Gabriel Mendoza;Dirección 19;Empleado 19;Puesto 19;Huehuetenango; Caja de ropa; Caja de ropa;3.68;66;Recolectado;17.75;24.65
733;Miércoles;Abril;;José Pérez;Dirección 20;Empleado 20;Puesto 20;Jalapa; Envío a sucursal; Envío a sucursal;1.15;116;Devolución;9.65;71.11
457;Martes;Febrero;2023;Gabriel Gómez;Dirección 21;Empleado 21;Puesto 21;San Lucas Sacatepéquez; Caja grande; Caja grande;0.37;40;Devolución;16.02;84.82
778;Viernes;Agosto;;Laura Zamora;Dirección 22;Empleado 22;Puesto 22;Antigua Guatemala; Envío de productos frágiles; Envío de productos frágiles;9;64;Entregado;48.09;49.51
702;Martes;Noviembre;;José Paredes;Dirección 23;Empleado 23;Puesto 23;Sololá; Carga industrial; Carga industrial;7.63;28;Pendiente;27.24;
600;Miércoles;Abril;;Elena Navarro;Dirección 24;Empleado 24;Puesto 24;San Pablo Jocopilas;;;2.36;42;Pendiente;35.28;
678;Sábado;Junio;2023;Luis Valverde;Dirección 25;Empleado 25;Puesto 25;Retalhuleu; Envío a zona remota; Envío a zona remota;1.65;111;Recolectado;29.96;30.02
473;Miércoles;Diciembre;2021;Gabriel Valverde;Dirección 26;Empleado 26;Puesto 26;San José Pinula; Caja de tecnología; Caja de tecnología;7.96;114;Pendiente;11.51;60.81
40;Domingo;Noviembre;;David Espinoza;Dirección 27;Empleado 27;Puesto 27;San Marcos; Envío urgente; Envío urgente;2.58;3;En Bodega;46.84;30.03
886;Sábado;Octubre;2022;Pedro Prieto;Dirección 28;Empleado 28;Puesto 28;Totonicapán; Envío marítimo; Envío marítimo;8.58;37;Devolución;44.59;24.78
138;Martes;Junio;2023;Rosa Díaz;Dirección 29;Empleado 29;Puesto 29;Jacaltenango; Envío marítimo; Envío marítimo;9.58;14;Devolución;37.83;74.24
504;Lunes;Noviembre;2022;Roberto Aguilar;Dirección 30;Empleado 30;Puesto 30;Patzún;;;8.34;44;Recolectado;30.94;13.9
409;Sábado;Marzo;2020;Gabriel García;Dirección 31;Empleado 31;Puesto 31;San Lucas Sacatepéquez; Envío internacional; Envío internacional;1.92;14;Devolución;24.66;25.35
272;Jueves;Enero;2023;Francisco Hernández;Dirección 32;Empleado 32;Puesto 32;Mazatenango; Envío marítimo; Envío marítimo;4.85;39;Devolución;13.72;2.74
237;Domingo;Septiembre;2022;Raquel Torres;Dirección 33;Empleado 33;Puesto 33;Mixco; Envío a sucursal; Envío a sucursal;8.1;26;Pendiente;7;94
477;Lunes;Noviembre;2021;Rosa Torres;Dirección 34;Empleado 34;Puesto 34;San Marcos; Envío de artículos de belleza; Envío de artículos de belleza;4.74;1;;41.55;
194;Martes;Mayo;;Javier Cordero;Dirección 35;Empleado 35;Puesto 35;Ciudad Vieja; Envío de productos médicos; Envío de productos médicos;4.73;24;En Bodega;37.14;4.62
951;Martes;Enero;;Marina Jiménez;Dirección 36;Empleado 36;Puesto 36;Palín; Envío de productos médicos; Envío de productos médicos;3.94;52;Recolectado;18.32;
243;Domingo;Septiembre;2022;Alejandro López;Dirección 37;Empleado 37;Puesto 37;Cobán; Carga industrial; Carga industrial;2.56;55;Recolectado;29.79;90.32
500;Jueves;Enero;;Raquel Paredes;Dirección 38;Empleado 38;Puesto 38;Jacaltenango; Paquete pequeño; Paquete pequeño;9.23;79;Devolución;33.57;
744;Martes;Junio;2022;Raquel Ríos;Dirección 39;Empleado 39;Puesto 39;Amatitlán; Caja de ropa; Caja de ropa;7.22;49;Entregado;18.14;17.42
40;Jueves;Septiembre;2022;Andrés Silva;Dirección 40;Empleado 40;Puesto 40;Guatemala City; Envío de equipos deportivos; Envío de equipos deportivos;7.06;12;Devolución;21.69;53.59
790;Domingo;Marzo;;Juan Rodríguez;Dirección 41;Empleado 41;Puesto 41;Sumpango; Envío frágil; Envío frágil;6.35;74;Pendiente;42;79.93
695;Lunes;Noviembre;2022;Eduardo Villalobos;Dirección 42;Empleado 42;Puesto 42;San Pablo Jocopilas; Caja de mercancía; Caja de mercancía;4.65;107;Entregado;22.05;
258;Viernes;Septiembre;;Ricardo Jiménez;Dirección 43;Empleado 43;Puesto 43;Nebaj; Envío de productos frágiles; Envío de productos frágiles;9.17;94;Pendiente;16.56;93.44
418;Martes;Junio;2021;Carmen Villalobos;Dirección 44;Empleado 44;Puesto 44;Coatepeque; Envío nocturno; Envío nocturno;2.59;75;Recolectado;34.06;
389;Jueves;Enero;2021;Marcela Martínez;Dirección 45;Empleado 45;Puesto 45;Retalhuleu; Paquete con seguimiento; Paquete con seguimiento;1.8;38;Devolución;13.28;1.94
516;Lunes;Octubre;2020;Marcela Moreno;Dirección 46;Empleado 46;Puesto 46;Sanarate; Envío en fin de semana; Envío en fin de semana;3.7;63;Pendiente;46.22;79.89
660;Sábado;Enero;;Alejandro Araya;Dirección 47;Empleado 47;Puesto 47;Amatitlán; Paquete mediano; Paquete mediano;5.57;58;Devolución;33.46;
372;Domingo;Mayo;2022;Patricia Sánchez;Dirección 48;Empleado 48;Puesto 48;San Marcos; Envío de productos electrónicos; Envío de productos electrónicos;5.87;36;Recolectado;16.55;1.39
114;Viernes;Octubre;2023;Rosa Valverde;Dirección 49;Empleado 49;Puesto 49;San Juan Sacatepéquez; Envío express; Envío express;3.54;33;Entregado;36.74;50.93
924;Sábado;Agosto;2022;Andrés Rodríguez;Dirección 50;Empleado 50;Puesto 50;Santa Cruz del Quiché;;;1.35;75;En Bodega;23.24;23.74
639;Lunes;Septiembre;2020;Clara Fernández;Dirección 51;Empleado 51;Puesto 51;Ciudad Vieja; Envío marítimo; Envío marítimo;5.64;80;En Bodega;30.76;
244;Sábado;Junio;2020;Ricardo Espinoza;Dirección 52;Empleado 52;Puesto 52;Guatemala City; Paquete de accesorios; Paquete de accesorios;9.72;115;Entregado;17.15;19.33
160;Viernes;Noviembre;2022;Francisco Valverde;Dirección 53;Empleado 53;Puesto 53;Guatemala City; Envío de equipos deportivos; Envío de equipos deportivos;3.09;48;Recolectado;41.34;22.14
361;Miércoles;Febrero;2023;Catalina Sánchez;Dirección 54;Empleado 54;Puesto 54;San Lucas Sacatepéquez; Caja mediana; Caja mediana;3.94;78;Pendiente;35.2;75.14
477;Miércoles;Noviembre;2021;Carolina Silva;Dirección 55;Empleado 55;Puesto 55;Malacatán; Caja con rastreo GPS; Caja con rastreo GPS;1.87;97;Recolectado;25.88;65.77
14;Lunes;Julio;2023;Sofía Prieto;Dirección 56;Empleado 56;Puesto 56;Patulul; Envío en fin de semana; Envío en fin de semana;7.91;87;Devolución;15.81;92.9
508;Lunes;Marzo;;Joaquín Torres;Dirección 57;Empleado 57;Puesto 57;Nebaj; Envío de muestras; Envío de muestras;8.11;35;Devolución;10.18;
319;Jueves;Junio;;Adriana Mendoza;Dirección 58;Empleado 58;Puesto 58;Cantel; Envío de alimentos perecederos; Envío de alimentos perecederos;4.85;68;;28.68;59.41
87;Viernes;Diciembre;2022;Carolina Villalobos;Dirección 59;Empleado 59;Puesto 59;Sumpango; Envío express; Envío express;7.25;108;Recolectado;28.97;
602;Viernes;Marzo;;Javier Gómez;Dirección 60;Empleado 60;Puesto 60;Villa Canales; Paquete mediano; Paquete mediano;1.03;26;Recolectado;37.34;74.17
536;Martes;Junio;2020;Marina Ruiz;Dirección 61;Empleado 61;Puesto 61;Huehuetenango; Caja de ropa; Caja de ropa;6.2;40;En Bodega;12.13;38.02
492;Martes;Noviembre;2023;Alejandro Espinoza;Dirección 62;Empleado 62;Puesto 62;Nahualá; Envío internacional; Envío internacional;0.25;17;Devolución;37.97;98.52
472;Martes;Marzo;2022;Víctor Cordero;Dirección 63;Empleado 63;Puesto 63;Nebaj; Caja pequeña; Caja pequeña;9.93;60;Recolectado;48.26;57.97
287;Domingo;Febrero;2021;María Torres;Dirección 64;Empleado 64;Puesto 64;Santa Lucía Cotzumalguapa; Caja con rastreo GPS; Caja con rastreo GPS;3.63;1;En Bodega;14.08;52.84
507;Lunes;Agosto;2020;Ricardo García;Dirección 65;Empleado 65;Puesto 65;Patzún; Envío ecológico; Envío ecológico;2.9;120;Entregado;9.8;
563;Martes;Febrero;2023;David Flores;Dirección 66;Empleado 66;Puesto 66;Patulul; Envío express; Envío express;2.19;58;En Bodega;13.95;
570;Miércoles;Diciembre;2021;Víctor Araya;Dirección 67;Empleado 67;Puesto 67;Huehuetenango; Caja de mercancía; Caja de mercancía;8.8;87;Devolución;16.43;93.7
237;Jueves;Septiembre;2022;Sebastián Peralta;Dirección 68;Empleado 68;Puesto 68;San Cristóbal Verapaz; Envío de productos de limpieza; Envío de productos de limpieza;3.6;118;Recolectado;30.25;10.26
582;Lunes;Febrero;2021;Luis Núñez;Dirección 69;Empleado 69;Puesto 69;Cobán;;;9.81;21;Recolectado;18.95;39.9
132;Martes;Abril;2022;Lucía Gómez;Dirección 70;Empleado 70;Puesto 70;Guatemala City; Envío de productos de limpieza; Envío de productos de limpieza;9.16;58;En Bodega;49.95;46.75
160;Viernes;Julio;2022;Ana Martínez;Dirección 71;Empleado 71;Puesto 71;Nahualá; Paquete de documentos legales; Paquete de documentos legales;7.24;1;Devolución;31.82;63.22
57;Domingo;Diciembre;;Clara Reyes;Dirección 72;Empleado 72;Puesto 72;Mazatenango; Envío marítimo; Envío marítimo;7.06;86;En Bodega;29.35;22.53
925;Lunes;Mayo;2021;Alejandro García;Dirección 73;Empleado 73;Puesto 73;Coatepeque; Caja con rastreo GPS; Caja con rastreo GPS;5.42;89;Entregado;29.01;70.83
127;Miércoles;Junio;2021;Óscar Vargas;Dirección 74;Empleado 74;Puesto 74;Chimaltenango; Envío urgente; Envío urgente;5.4;115;En Bodega;42.95;
515;Lunes;Octubre;2021;Marcela Fernández;Dirección 75;Empleado 75;Puesto 75;Jocotenango; Envío express; Envío express;6.49;63;Pendiente;45.47;7.58
898;Viernes;Abril;2022;Sebastián Rodríguez;Dirección 76;Empleado 76;Puesto 76;Chimaltenango; Paquete de accesorios; Paquete de accesorios;6.89;34;Entregado;36.38;79.15
869;Miércoles;Abril;2020;David Peralta;Dirección 77;Empleado 77;Puesto 77;Asunción Mita; Paquete grande; Paquete grande;1.68;103;Recolectado;24.71;35.78
670;Viernes;Febrero;2020;Ana Núñez;Dirección 78;Empleado 78;Puesto 78;Retalhuleu; Envío de productos electrónicos; Envío de productos electrónicos;3.86;65;;7.42;
338;Miércoles;Noviembre;2023;Sofía Delgado;Dirección 79;Empleado 79;Puesto 79;San Cristóbal Verapaz; Envío de material impreso; Envío de material impreso;9.02;45;Pendiente;39.69;
537;Martes;Septiembre;2023;Carmen Valverde;Dirección 80;Empleado 80;Puesto 80;San Pedro Sacatepéquez; Caja grande; Caja grande;4.74;115;Devolución;11.9;22.22
643;Miércoles;Junio;2021;Alejandro Reyes;Dirección 81;Empleado 81;Puesto 81;Sanarate; Caja de herramientas; Caja de herramientas;7.78;29;Devolución;15.15;79.33
99;Domingo;Noviembre;2023;Natalia Pérez;Dirección 82;Empleado 82;Puesto 82;San Marcos; Caja grande; Caja grande;2.92;24;Pendiente;35.34;
728;Sábado;Enero;;Carolina Araya;Dirección 83;Empleado 83;Puesto 83;Jutiapa; Caja mediana; Caja mediana;0.88;32;En Bodega;11.41;
574;Domingo;Abril;2022;Joaquín Delgado;Dirección 84;Empleado 84;Puesto 84;Asunción Mita; Caja de herramientas; Caja de herramientas;9.92;84;Entregado;25.01;69.89
419;Lunes;Marzo;2022;Marina Espinoza;Dirección 85;Empleado 85;Puesto 85;Chicacao; Envío en fin de semana; Envío en fin de semana;1.4;58;Pendiente;31.06;
953;Viernes;Julio;;Óscar Acosta;Dirección 86;Empleado 86;Puesto 86;Sanarate; Envío a sucursal; Envío a sucursal;4.62;85;En Bodega;49.83;97.18
148;Lunes;Diciembre;;Antonia Mendoza;Dirección 87;Empleado 87;Puesto 87;Retalhuleu; Envío ecológico; Envío ecológico;3.01;76;Recolectado;15.44;70.97
779;Martes;Mayo;2022;Valeria Fernández;Dirección 88;Empleado 88;Puesto 88;San Cristóbal Verapaz; Envío económico; Envío económico;3.38;48;Entregado;26.39;74.25
174;Martes;Abril;2022;Manuel Morales;Dirección 89;Empleado 89;Puesto 89;Patzún; Paquete de documentos legales; Paquete de documentos legales;4.56;117;Pendiente;38.82;57.66
283;Miércoles;Noviembre;2023;Pedro Gómez;Dirección 90;Empleado 90;Puesto 90;Quetzaltenango; Caja de mercancía; Caja de mercancía;4.13;14;En Bodega;43.66;45.25
70;Jueves;Febrero;2022;Raquel González;Dirección 91;Empleado 91;Puesto 91;San Lucas Sacatepéquez; Paquete mediano; Paquete mediano;1.21;118;Pendiente;33.72;
287;Domingo;Abril;2020;Marcela Rojas;Dirección 92;Empleado 92;Puesto 92;Sumpango; Caja con rastreo GPS; Caja con rastreo GPS;3.67;56;;43.36;10.97
78;Viernes;Octubre;2020;Marina Espinoza;Dirección 93;Empleado 93;Puesto 93;San José Pinula; Envío en fin de semana; Envío en fin de semana;4.8;103;Devolución;13.55;36.83
845;Martes;Junio;;Clara Ochoa;Dirección 94;Empleado 94;Puesto 94;Malacatán; Envío ecológico; Envío ecológico;3.55;85;Entregado;22.85;63.39
53;Miércoles;Junio;2021;Laura Hernández;Dirección 95;Empleado 95;Puesto 95;La Gomera; Caja mediana; Caja mediana;8.12;4;Pendiente;43.63;86.92
137;Sábado;Noviembre;2022;Lucía Hernández;Dirección 96;Empleado 96;Puesto 96;San Benito; Carga consolidada; Carga consolidada;7.62;73;Pendiente;35.86;22.77
327;Martes;Junio;;Ricardo Sánchez;Dirección 97;Empleado 97;Puesto 97;Cantel; Paquete mediano; Paquete mediano;3.19;69;Recolectado;8.57;80.77
489;Jueves;Abril;2020;Pedro Díaz;Dirección 98;Empleado 98;Puesto 98;Jutiapa; Envío nocturno; Envío nocturno;0.35;72;En Bodega;40.33;10.72
74;Jueves;Agosto;;Paula Jiménez;Dirección 99;Empleado 99;Puesto 99;San Benito; Envío de alimentos perecederos; Envío de alimentos perecederos;6.94;50;Pendiente;45.74;32.54
309;Sábado;Abril;2022;Javier Silva;Dirección 100;Empleado 100;Puesto 100;Sumpango; Envío urgente; Envío urgente;8.2;112;En Bodega;20.13;51.94
800;Martes;Diciembre;2022;Javier Ortega;Dirección 101;Empleado 101;Puesto 101;Amatitlán; Envío de productos frágiles; Envío de productos frágiles;4.53;83;Devolución;40.86;54.38
704;Lunes;Mayo;2020;María Castro;Dirección 102;Empleado 102;Puesto 102;Santa Catarina Pinula; Envío de productos de limpieza; Envío de productos de limpieza;3.78;42;;8.95;41.81
533;Viernes;Enero;2020;Marcela Rojas;Dirección 103;Empleado 103;Puesto 103;Coatepeque; Envío express; Envío express;4.16;97;Entregado;19.66;48.19
923;Miércoles;Mayo;2022;José Espinoza;Dirección 104;Empleado 104;Puesto 104;Santa Lucía Cotzumalguapa; Envío de productos de limpieza; Envío de productos de limpieza;0.86;63;Recolectado;7.96;69.59
872;Domingo;Octubre;2021;Adriana Paredes;Dirección 105;Empleado 105;Puesto 105;Guatemala City; Envío de artículos personales; Envío de artículos personales;0.39;42;Entregado;23.2;85.95
193;Jueves;Septiembre;2022;Daniel Ortega;Dirección 106;Empleado 106;Puesto 106;Patzún; Envío a domicilio; Envío a domicilio;0.96;9;Recolectado;16.8;
799;Miércoles;Enero;2022;Lucía Ortega;Dirección 107;Empleado 107;Puesto 107;Mazatenango; Paquete con seguro; Paquete con seguro;0.4;19;Entregado;49.79;64.1
992;Jueves;Diciembre;2022;Antonia Aguilar;Dirección 108;Empleado 108;Puesto 108;Santa Catarina Pinula; Paquete de documentos legales; Paquete de documentos legales;6.2;107;Devolución;20.99;
229;Lunes;Octubre;;Isabel Valverde;Dirección 109;Empleado 109;Puesto 109;Jalapa; Paquete mediano; Paquete mediano;3.69;68;Entregado;22.74;60.81
949;Domingo;Junio;2023;Gabriel Araya;Dirección 110;Empleado 110;Puesto 110;Jalapa; Carga peligrosa; Carga peligrosa;6.47;17;Entregado;36.03;46.66
257;Lunes;Octubre;;Isabel Díaz;Dirección 111;Empleado 111;Puesto 111;Chiquimula; Envío marítimo; Envío marítimo;0.7;53;En Bodega;7.71;89.16
87;Jueves;Agosto;;Felipe Aguilar;Dirección 112;Empleado 112;Puesto 112;Nebaj; Envío a domicilio; Envío a domicilio;2.83;110;Entregado;42.12;89.41
207;Domingo;Septiembre;2023;Valeria Martínez;Dirección 113;Empleado 113;Puesto 113;Nahualá; Envío urgente; Envío urgente;4.71;110;;39.22;83.64
16;Lunes;Febrero;2021;María Sánchez;Dirección 114;Empleado 114;Puesto 114;Patzún; Envío de equipos deportivos; Envío de equipos deportivos;0.35;83;Devolución;36;
71;Sábado;Julio;;Patricia Sánchez;Dirección 115;Empleado 115;Puesto 115;Ciudad Vieja; Envío nocturno; Envío nocturno;5.02;106;Pendiente;26.37;28.94
16;Jueves;Abril;2021;Andrés Moreno;Dirección 116;Empleado 116;Puesto 116;Nebaj; Caja grande; Caja grande;3.43;87;Recolectado;42.81;81.66
440;Viernes;Septiembre;;Rosa Núñez;Dirección 117;Empleado 117;Puesto 117;La Gomera; Carga voluminosa; Carga voluminosa;2.89;31;Recolectado;27.09;
996;Domingo;Diciembre;;Rosa Bravo;Dirección 118;Empleado 118;Puesto 118;San Pablo Jocopilas; Caja de regalo; Caja de regalo;2.11;14;Devolución;45.3;
767;Domingo;Junio;2023;Carolina Bravo;Dirección 119;Empleado 119;Puesto 119;Antigua Guatemala; Envío de productos de limpieza; Envío de productos de limpieza;4.73;119;Entregado;37.05;42.32
431;Jueves;Septiembre;2021;Manuel García;Dirección 120;Empleado 120;Puesto 120;San Marcos; Envío marítimo; Envío marítimo;5.56;69;Devolución;5.77;87.38
562;Jueves;Noviembre;2020;Marcela Ramírez;Dirección 121;Empleado 121;Puesto 121;San Pedro Ayampuc; Caja de ropa; Caja de ropa;6.36;30;Entregado;15.58;
168;Domingo;Abril;;David Araya;Dirección 122;Empleado 122;Puesto 122;Nahualá; Envío ecológico; Envío ecológico;2.65;104;Devolución;25.69;18.26
561;Miércoles;Noviembre;2021;Paula Cordero;Dirección 123;Empleado 123;Puesto 123;Villa Nueva; Envío a sucursal; Envío a sucursal;8.79;91;Pendiente;27.13;25.79
766;Martes;Noviembre;;Marcela Castro;Dirección 124;Empleado 124;Puesto 124;Villa Nueva; Paquete sensible al calor; Paquete sensible al calor;9.72;16;;9.69;86.5
311;Viernes;Agosto;2020;Carlos Castro;Dirección 125;Empleado 125;Puesto 125;Antigua Guatemala; Caja de muebles pequeños; Caja de muebles pequeños;3.45;81;Entregado;49.11;
820;Sábado;Mayo;;Francisco Zamora;Dirección 126;Empleado 126;Puesto 126;Escuintla; Envío de artículos personales; Envío de artículos personales;7.1;70;Devolución;43.2;28.06
332;Lunes;Junio;;Javier Paredes;Dirección 127;Empleado 127;Puesto 127;La Gomera; Caja de mercancía; Caja de mercancía;1.74;22;En Bodega;40.9;
46;Domingo;Marzo;2020;David Martínez;Dirección 128;Empleado 128;Puesto 128;San Benito; Paquete grande; Paquete grande;1.69;99;Pendiente;18.15;55.43
654;Sábado;Agosto;;Pedro Rojas;Dirección 129;Empleado 129;Puesto 129;Villa Nueva; Envío aéreo; Envío aéreo;9.45;15;Recolectado;22.33;1.6
295;Viernes;Junio;2023;Laura Moreno;Dirección 130;Empleado 130;Puesto 130;Petapa; Envío de muestras; Envío de muestras;6.91;81;Recolectado;49.88;25.86
236;Martes;Febrero;2022;Óscar Ríos;Dirección 131;Empleado 131;Puesto 131;San Pedro Ayampuc; Caja de tecnología; Caja de tecnología;2.1;34;Devolución;43.03;
739;Viernes;Marzo;2020;Pedro Navarro;Dirección 132;Empleado 132;Puesto 132;Cobán; Caja de herramientas; Caja de herramientas;0.86;45;Devolución;18.8;64.92
403;Domingo;Julio;2021;Rosa Zamora;Dirección 133;Empleado 133;Puesto 133;Patzún; Paquete de libros; Paquete de libros;9;78;Pendiente;47.35;
646;Viernes;Septiembre;2021;Carolina Acosta;Dirección 134;Empleado 134;Puesto 134;Patulul; Paquete mediano; Paquete mediano;0.53;99;En Bodega;34.2;11.64
837;Domingo;Abril;2023;Rosa Acosta;Dirección 135;Empleado 135;Puesto 135;Barberena; Carga peligrosa; Carga peligrosa;3.58;80;Pendiente;41.96;89.68
914;Miércoles;Enero;2022;Laura Morales;Dirección 136;Empleado 136;Puesto 136;Nebaj; Paquete grande; Paquete grande;1.16;95;Pendiente;33.39;42.57
279;Domingo;Junio;2022;Roberto Espinoza;Dirección 137;Empleado 137;Puesto 137;Mixco; Paquete con seguimiento; Paquete con seguimiento;9.52;38;Recolectado;17.66;79.3
190;Martes;Junio;2022;Gabriel Delgado;Dirección 138;Empleado 138;Puesto 138;Barberena; Paquete con seguimiento; Paquete con seguimiento;9.57;90;Entregado;19.41;81.44
346;Miércoles;Agosto;;Carmen Bravo;Dirección 139;Empleado 139;Puesto 139;Jocotenango; Paquete de documentos legales; Paquete de documentos legales;1.41;65;En Bodega;32.48;42.87
17;Jueves;Febrero;;Catalina Navarro;Dirección 140;Empleado 140;Puesto 140;Jutiapa; Paquete pequeño; Paquete pequeño;1.18;63;En Bodega;44.51;
602;Miércoles;Mayo;2023;David Ortega;Dirección 141;Empleado 141;Puesto 141;Guatemala City; Sobre pequeño; Sobre pequeño;3.21;12;Devolución;21.56;59.38
466;Viernes;Julio;;Joaquín Núñez;Dirección 142;Empleado 142;Puesto 142;Malacatán; Paquete de libros; Paquete de libros;8.61;99;En Bodega;33.47;40.99
957;Sábado;Diciembre;2021;Francisco Silva;Dirección 143;Empleado 143;Puesto 143;Mazatenango; Carga consolidada; Carga consolidada;3.07;95;Devolución;44.12;89.16
155;Sábado;Agosto;2020;David Morales;Dirección 144;Empleado 144;Puesto 144;Santa Catarina Pinula; Envío de productos médicos; Envío de productos médicos;3.78;82;Entregado;45.8;56.96
722;Lunes;Febrero;2020;Valeria Bravo;Dirección 145;Empleado 145;Puesto 145;Jocotenango; Envío de artículos personales; Envío de artículos personales;4.43;34;;19.83;61.06
875;Miércoles;Octubre;;Carlos Prieto;Dirección 146;Empleado 146;Puesto 146;San Francisco El Alto; Caja de tecnología; Caja de tecnología;8.36;11;En Bodega;37.78;79.2
926;Martes;Julio;2020;Adriana Martínez;Dirección 147;Empleado 147;Puesto 147;La Gomera; Paquete con seguro; Paquete con seguro;5.65;41;En Bodega;13.58;75.4
430;Lunes;Septiembre;2020;Miguel Duarte;Dirección 148;Empleado 148;Puesto 148;Barberena; Envío de material impreso; Envío de material impreso;9.39;56;Pendiente;40.01;88.05
385;Martes;Enero;2021;Eduardo Gómez;Dirección 149;Empleado 149;Puesto 149;Villa Canales; Caja grande; Caja grande;5.09;100;Devolución;16.53;88.15
223;Lunes;Diciembre;2020;Sofía Valverde;Dirección 150;Empleado 150;Puesto 150;Patulul; Bulto ligero; Bulto ligero;1.24;86;Pendiente;46.81;29.93
608;Jueves;Septiembre;2020;Pedro Morales;Dirección 151;Empleado 151;Puesto 151;Mazatenango; Caja mediana; Caja mediana;8.82;80;Recolectado;12.27;
782;Miércoles;Junio;2021;Sofía Delgado;Dirección 152;Empleado 152;Puesto 152;Puerto Barrios; Carga voluminosa; Carga voluminosa;1.16;102;Entregado;34.29;79.85
713;Miércoles;Noviembre;2022;Carolina Quirós;Dirección 153;Empleado 153;Puesto 153;Santa Catarina Pinula; Caja de herramientas; Caja de herramientas;6.82;109;Pendiente;44.35;12.41
791;Sábado;Enero;2023;Joaquín Jiménez;Dirección 154;Empleado 154;Puesto 154;San José Pinula; Paquete grande; Paquete grande;0.48;6;En Bodega;11.06;51.74
920;Martes;Marzo;;Daniel Reyes;Dirección 155;Empleado 155;Puesto 155;Puerto Barrios; Bulto ligero; Bulto ligero;0.8;6;Pendiente;14.8;99.73
268;Sábado;Agosto;2021;Rosa González;Dirección 156;Empleado 156;Puesto 156;Petapa; Envío frágil; Envío frágil;0.29;7;Devolución;39.23;69.83
